key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
accentCurrentColor,Settings,Aktuální barva,Current color,,,,
accentHexPlaceholder,Settings,např. #FF4F31,e.g. #FF4F31,,,,
accentHueSlider,Settings,Odstín,Hue,,,,
accentReset,Settings,Výchozí barva,Default color,,,,
accentTabPreviewLabel,Settings,Náhled aktivní záložky,Active tab preview,,,,
accentTitle,Settings,Barevnost,Accent color,,,,
appearanceOptionDark,Profile,Tmavý,Dark,,,,
appearanceOptionLight,Profile,Světlý,Light,,,,
appearanceOptionSystem,Profile,Dle systému,System,,,,
appearanceSheetTitle,Profile,Vzhled stránky,Page appearance,,,,
barberAboutMe,Service / Barber detail,O mně,About me,,,,
barberAvailability,Service / Barber detail,Dostupnost,Availability,,,,
barberBook,Service / Barber detail,Rezervovat,Book,,,,
barberBranches,Barber detail,Pobočky,Branches,,,,
barberCollapseShifts,Service / Barber detail,Zabalit,Collapse,,,,
barberColoringSkills,Service / Barber detail,Barvení,Coloring,,,,
barberFavoriteServices,Service / Barber detail,Oblíbené služby,Favorite services,,,,
barberFindMeAtBranch,Service / Barber detail,Najdete mě na pobočce,Find me at this branch,,,,
barberFindMeAtBranches,Service / Barber detail,Najdete mě na pobočkách,Find me at these branches,,,,
barberFullyBookedThatDay,Service / Barber detail,Tento den plně obsazeno,Fully booked this day,,,,
barberFullyBookedToday,Service / Barber detail,Dnes plně obsazeno,Fully booked today,,,,
barberHairstyleSkills,Service / Barber detail,Střihy,Haircuts,,,,
barberLanguages,Service / Barber detail,Mluvím,I speak,,,,
barberLoadAllShifts,Service / Barber detail,Načíst všechny směny,Load all shifts,,,,
barberLoadMoreShifts,Service / Barber detail,Načíst další směny,Load more shifts,,,,
barberMenuBook,Service / Barber detail,Rezervuj se ke mě,Book with me,,,,
barberMenuOpen,Service / Barber detail,Další akce,More actions,,,,
barberMenuRate,Service / Barber detail,Ohodnotit,Rate,,,,
barberMenuShare,Service / Barber detail,Sdílet,Share,,,,
barberMine,Service / Barber detail,Moje,Mine,,,,
barberMyFavorites,Service / Barber detail,Moje nejoblíbenější,My favorites,,,,
barberNearestSlotTitle,Service / Barber detail,Nejbližší termín,Nearest slot,,,,
barberNearestSlotsTitle,Service / Barber detail,Nejbližší termíny,Nearest slots,,,,
barberNoAvailability,Service / Barber detail,Kalendář směn zatím není k dispozici.,Shift calendar is not available yet.,,,,
barberNoReviews,Service / Barber detail,Zatím žádné recenze.,No reviews yet.,,,,
barberNoShifts,Service / Barber detail,Žádné naplánované směny.,No scheduled shifts.,,,,
barberNotFound,Service / Barber detail,Holič nenalezen,Barber not found,,,,
barberPhoneCall,Service / Barber detail,Zavolat,Call,,,,
barberReserveWith,Service / Barber detail,Rezervovat u tohoto holiče,Reserve with this barber,,,,
barberReview,Barber detail,Recenze,Review,,,,
barberReviewsLoadError,Service / Barber detail,Recenze se nepodařilo načíst.,Could not load reviews.,,,,
barberReviewsLoading,Service / Barber detail,Načítám…,Loading…,,,,
barberReviewsNext,Service / Barber detail,Další,Next,,,,
barberReviewsPrevious,Service / Barber detail,Předchozí,Previous,,,,
barberScrollToAvailability,Service / Barber detail,"""Podívejte se, kdy jsem příště""",See when I am available next,,,,
barberSelect,Service / Barber detail,Vybrat,Select,,,,
barberServices,Barber detail,Služby,Services,,,,
barberShareCopied,Service / Barber detail,Zkopírováno,Copied,,,,
barberShareCopyLink,Service / Barber detail,Kopírovat odkaz na profil,Copy profile link,,,,
barberShareEmail,Service / Barber detail,E-mail,Email,,,,
barberShareEmailBody,Service / Barber detail,Podívej se na profil {name}:\n{url},Check out {name}\'s profile:\n{url},,,,
barberShareEmailSubject,Service / Barber detail,Profil {name} — Real Barber,Profile {name} — Real Barber,,,,
barberShareFacebook,Service / Barber detail,Facebook,Facebook,,,,
barberShareSheetTitle,Service / Barber detail,Sdílet profil,Share profile,,,,
barberShareTelegram,Service / Barber detail,Telegram,Telegram,,,,
barberShareWhatsApp,Service / Barber detail,WhatsApp,WhatsApp,,,,
barberShiftCalendarConfigNeeded,Service / Barber detail,Pro zobrazení dostupnosti je potřeba nastavení kalendáře.,Shift calendar needs to be configured.,,,,
barberSkills,Service / Barber detail,Dovednosti,Skills,,,,
barberStories,Service / Barber detail,Stories,Stories,,,,
barberStoriesTeaser,Service / Barber detail,Podívejte se na nové stories,Check out new stories,,,,
barberTodayShift,Service / Barber detail,Dnes má směnu,On shift today,,,,
barberTodaySlots,Service / Barber detail,Dnešní volné termíny,Today's available slots,,,,
barberUnavailableToday,Service / Barber detail,Dnes už jsem skončil/a,I'm done for today,,,,
barberUpdateReview,Barber detail,Upravit recenzi,Update review,,,,
barberVideo,Service / Barber detail,Video,Video,,,,
barberWorkSamples,Barber detail,Ukázky práce,Work samples,,,,
barberWriteReview,Barber detail,Napsat recenzi,Write review,,,,
bookingAddToCalendar,Trip detail / Booking detail,Přidat do kalendáře,Add to calendar,,,,
bookingAddToCalendarDescription,Trip detail / Booking detail,"""Přidá událost s datem, časem a místem do kalendáře.""","""Adds a calendar event with date, time, and location.""",,,,
bookingAddToCalendarFailed,Trip detail / Booking detail,Kalendář se nepodařilo otevřít. Zkuste to prosím znovu.,The calendar could not be opened. Please try again.,,,,
bookingAnyEmployeeMeta,Reservation create flow,Volné termíny dohromady,Combined available times,,,,
bookingApprove,Booking detail,Schválit,Approve,,,,
bookingBranchSelect,Reservation create flow,Vybrat pobočku,Select branch,,,,
bookingCalendarNoteBarber,Trip detail / Booking detail,Kadeřník,Barber,,,,
bookingCleaningFee,Trip detail / Booking detail,Poplatek za úklid,Cleaning fee,,,,
bookingContactYourDetails,Reservation create flow,Vaše údaje,Your details,,,,
bookingContinue,Reservation create flow,Pokračovat,Continue,,,,
bookingCouponAppliedAt,Trip detail / Booking detail,Uplatněno,Applied,,,,
bookingCouponChoiceTitle,Reservation create flow,Slevový kód / Dárkový poukaz,Discount code / Gift voucher,,,,
bookingCouponCodeLabel,Trip detail / Booking detail,Kód,Code,,,,
bookingCouponNotMatchedHint,Reservation create flow,"""Kód platí, ale nemusí být vázaný na váš účet.""",The code is valid but may not be linked to your account.,,,,
bookingCouponSectionTitle,Trip detail / Booking detail,Byl uplatněn kupón,Coupon applied,,,,
bookingCouponUsageShort,Trip detail / Booking detail,Kupón,Coupon,,,,
bookingDatetimeContactOperator,Reservation create flow,Napsat operátorovi,Contact support,,,,
bookingDatetimeEmptyDayBodyGeneric,Reservation create flow,Tento den není dostupný volný čas.,No available time on this day.,,,,
bookingDatetimeEmptyDayBodyNamed,Reservation create flow,{employee} ten den nemá volný čas nebo nepracuje.,{employee} has no available time on this day or is not working.,,,,
bookingDatetimeEmptyDayTitle,Reservation create flow,{day} - tento den není dostupný,{day} - this day is unavailable,,,,
bookingDatetimeGoToDay,Reservation create flow,Přejít na {day},Go to {day},,,,
bookingDatetimeGoToNearest,Reservation create flow,Přejít na nejbližší dostupné datum,Go to nearest available date,,,,
bookingDatetimeNearestAvailableLabel,Reservation create flow,Nejbližší dostupné datum:,Nearest available date:,,,,
bookingDatetimeNoSlotsToday,Reservation create flow,Tento den již nejsou volné termíny,No available time slots left for this day,,,,
bookingDatetimeNoTimeSection,Reservation create flow,Nenašli jste čas?,Did not find a time?,,,,
bookingDetailCancelBooking,Trip detail,Opravdu chcete zrušit rezervaci?,Cancel this booking?,,,,
bookingDetailCancelButton,Trip detail,Zrušit,Cancel,,,,
bookingDetailCancelConfirmAtBranch,Trip detail,na pobočce,at,,,,
bookingDetailCancelConfirmIntro,Trip detail,Rezervace je naplánovaná na,Your booking is scheduled for,,,,
bookingDetailCancelError,Trip detail,Rezervaci se nepodařilo zrušit,Failed to cancel booking,,,,
bookingDetailCancelNo,Trip detail,Nechat být,Keep booking,,,,
bookingDetailCancelReasonPlaceholder,Trip detail,Důvod (nepovinné),Reason (optional),,,,
bookingDetailCancelSuccess,Trip detail,Rezervace byla zrušena,Booking cancelled,,,,
bookingDetailCancelYes,Trip detail,Zrušit rezervaci,Cancel booking,,,,
bookingDetailFullMap,Trip detail,Celá mapa,Full map,,,,
bookingDetailLocation,Trip detail,Poloha,Location,,,,
bookingDetailMoveButton,Trip detail,Přesunout,Reschedule,,,,
bookingDetailMoveReservation,Trip detail,Přesunout rezervaci,Reschedule,,,,
bookingDetailPostBookingCalendarLater,Trip detail / Booking detail,Teď ne,Not now,,,,
bookingDetailPostBookingCalendarTitle,Trip detail / Booking detail,Přidat do kalendáře?,Add to calendar?,,,,
bookingDetailRepeatReservation,Trip detail,Opakovat,Repeat,,,,
bookingDetailServiceFee,Trip detail,Poplatek za službu (odečteno),Service fee (deducted),,,,
bookingDetailTaxes,Trip detail,Daně,Taxes,,,,
bookingDetailTitle,Trip detail / Booking detail,Detail rezervace,Booking Detail,,,,
bookingDetailYourEarnings,Trip detail,Vaše výdělky,Your earnings,,,,
bookingDetails,Trip detail / Booking detail,Detaily rezervace,Booking details,,,,
bookingDiscountCodeOption,Reservation create flow,Slevový kód,Discount code,,,,
bookingDiscountCodeSheetHint,Reservation create flow,Vložte slevový kód,Enter your discount code,,,,
bookingDiscountCodeSheetTitle,Reservation create flow,Slevový kód,Discount code,,,,
bookingDuration,Trip detail / Booking detail,Délka,Duration,,,,
bookingEmployeeAbout,Reservation create flow,O mně,About me,,,,
bookingEmployeeFullProfile,Reservation create flow,Celý profil,Full profile,,,,
bookingEmployeeLanguages,Reservation create flow,Jazyky,Languages,,,,
bookingEmployeeNearest,Reservation create flow,Nejbližší termín,Next available,,,,
bookingEmployeeNoSlots,Reservation create flow,Bez volných termínů,No available slots,,,,
bookingEmployeeSelect,Reservation create flow,Vybrat,Select,,,,
bookingEmployeeViewProfile,Reservation create flow,Zobrazit profil,View profile,,,,
bookingFrom,Trip detail / Booking detail,Od,From,,,,
bookingGiftVoucherContinue,Reservation create flow,Pokračovat,Continue,,,,
bookingGiftVoucherOption,Reservation create flow,Dárkový poukaz,Gift voucher,,,,
bookingGiftVoucherSheetTitle,Reservation create flow,Dárkový poukaz,Gift voucher,,,,
bookingGuestInfo,Trip detail / Booking detail,Informace o hostu,Guest Information,,,,
bookingInCareOf,Trip detail / Booking detail,V péči u,In care of,,,,
bookingLoadFailed,Trip detail / Booking detail,Nepodařilo se načíst,Failed to load,,,,
bookingMessage,Trip detail / Booking detail,Zpráva,Message,,,,
bookingMessageFromGuest,Trip detail / Booking detail,Zpráva od hosta,Message from guest,,,,
bookingMessageGuest,Booking detail,Napsat hostovi,Message guest,,,,
bookingMinutesShort,Trip detail / Booking detail,min,min,,,,
bookingNotFound,Trip detail / Booking detail,Rezervace nenalezena,Booking not found,,,,
bookingOpenEmployeeProfile,Trip detail / Booking detail,Profil holiče,Barber profile,,,,
bookingOtpConfirm,Reservation create flow,Potvrdit rezervaci,Confirm booking,,,,
bookingOtpHint,Reservation create flow,Zadejte kód z SMS na číslo,Enter the SMS code sent to,,,,
bookingOtpTitle,Reservation create flow,Potvrzení telefonu,Phone verification,,,,
bookingPriceDetails,Trip detail / Booking detail,Cenové detaily,Price details,,,,
bookingProgressBranch,Reservation create flow,Pobočka,Branch,,,,
bookingProgressContact,Reservation create flow,Kontakt,Contact,,,,
bookingProgressDatetime,Reservation create flow,Termín,Time,,,,
bookingProgressEmployee,Reservation create flow,Holič,Barber,,,,
bookingProgressService,Reservation create flow,Služba,Service,,,,
bookingProgressSummary,Reservation create flow,Shrnutí,Summary,,,,
bookingReject,Booking detail,Odmítnout,Reject,,,,
bookingRequestDetails,Trip detail / Booking detail,Detaily žádosti,Request details,,,,
bookingReservationDetails,Trip detail / Booking detail,Detaily rezervace,Reservation details,,,,
bookingReservationNumber,Trip detail / Booking detail,Číslo rezervace,Reservation number,,,,
bookingReserveTerm,Reservation create flow,Rezervovat termín,Book appointment,,,,
bookingSendRbcTip,Trip detail / Booking detail,Poslat RBC jako spropitné,Send RBC as tip,,,,
bookingServiceFallback,Trip detail / Booking detail,Služba,Service,,,,
bookingServiceSelect,Reservation create flow,Vybrat tuto službu,Select this service,,,,
bookingShareButton,Trip detail,Sdílet,Share,,,,
bookingShareDetailButton,Trip detail,Sdílet detail rezervace,Share booking detail,,,,
bookingShareMyBookingButton,Trip detail,Sdílet rezervaci,Share booking,,,,
bookingSharePreviewChip,Trip detail,Co uvidí příjemce?,What will they see?,,,,
bookingShareSheetTitle,Trip detail,Sdílet rezervaci,Share booking,,,,
bookingShareTitle,Trip detail,Podívej se na mou rezervaci | Real Barber,Check out my booking | Real Barber,,,,
bookingSlotHandoffDateAt,Reservation create flow,{date} v {time},{date} at {time},,,,
bookingSlotHandoffDateEarliest,Reservation create flow,{date} nejdříve v {time},Earliest {date} at {time},,,,
bookingSlotHandoffDayAfterTomorrowAt,Reservation create flow,Pozítří v {time},Day after tomorrow at {time},,,,
bookingSlotHandoffDayAfterTomorrowEarliest,Reservation create flow,Pozítří nejdříve v {time},Earliest day after tomorrow at {time},,,,
bookingSlotHandoffDayToday,Reservation create flow,dnes,today,,,,
bookingSlotHandoffSubtitle,Reservation create flow,Pro tento termín u vybraného holiče,For this time with your selected barber,,,,
bookingSlotHandoffTodayAt,Reservation create flow,Dnes v {time},Today at {time},,,,
bookingSlotHandoffTodayEarliest,Reservation create flow,Dnes nejdříve v {time},Earliest today at {time},,,,
bookingSlotHandoffTomorrowAt,Reservation create flow,Zítra v {time},Tomorrow at {time},,,,
bookingSlotHandoffTomorrowEarliest,Reservation create flow,Zítra nejdříve v {time},Earliest tomorrow at {time},,,,
bookingStatus,Trip detail / Booking detail,Stav,Status,,,,
bookingStatusCancelled,Trips card,Zrušené,Cancelled,,,,
bookingStatusInProgress,Trips card,Probíhá,In progress,,,,
bookingStatusPast,Trips card,Minulé,Past,,,,
bookingStatusUpcoming,Trips card,Nadcházející,Upcoming,,,,
